trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
T0016,20:42:00,20:42:15,S002,5,0,0
T0016,20:45:00,20:45:15,S001,6,0,0
T0017,08:30:00,08:30:15,S001,1,0,0
T0017,08:33:00,08:33:15,S002,2,0,0
T0017,08:36:00,08:36:15,S003,3,0,0
T0017,08:39:00,08:39:15,S004,4,0,0
T0017,08:42:00,08:42:15,S005,5,0,0
T0017,08:45:00,08:45:15,S006,6,0,0
T0018,10:30:00,10:30:15,S001,1,0,0
T0018,10:33:00,10:33:15,S002,2,0,0
T0018,10:36:00,10:36:15,S003,3,0,0
T0018,10:39:00,10:39:15,S004,4,0,0
T0018,10:42:00,10:42:15,S005,5,0,0
T0018,10:45:00,10:45:15,S006,6,0,0
T0019,12:30:00,12:30:15,S001,1,0,0
T0019,12:33:00,12:33:15,S002,2,0,0
T0019,12:36:00,12:36:15,S003,3,0,0
T0019,12:39:00,12:39:15,S004,4,0,0
T0019,12:42:00,12:42:15,S005,5,0,0
T0019,12:45:00,12:45:15,S006,6,0,0
T0020,14:30:00,14:30:15,S001,1,0,0
T0020,14:33:00,14:33:15,S002,2,0,0
T0020,14:36:00,14:36:15,S003,3,0,0
T0020,14:39:00,14:39:15,S004,4,0,0
T0020,14:42:00,14:42:15,S005,5,0,0
T0020,14:45:00,14:45:15,S006,6,0,0
T0021,16:30:00,16:30:15,S001,1,0,0
T0021,16:33:00,16:33:15,S002,2,0,0
T0021,16:36:00,16:36:15,S003,3,0,0
T0021,16:39:00,16:39:15,S004,4,0,0
T0021,16:42:00,16:42:15,S005,5,0,0
T0021,16:45:00,16:45:15,S006,6,0,0
T0022,18:30:00,18:30:15,S001,1,0,0
T0022,18:33:00,18:33:15,S002,2,0,0
T0022,18:36:00,18:36:15,S003,3,0,0
T0022,18:39:00,18:39:15,S004,4,0,0
T0022,18:42:00,18:42:15,S005,5,0,0
T0022,18:45:00,18:45:15,S006,6,0,0
T0023,08:30:00,08:30:15,S006,1,0,0
T0023,08:33:00,08:33:15,S005,2,0,0
T0023,08:36:00,08:36:15,S004,3,0,0
T0023,08:39:00,08:39:15,S003,4,0,0
T0023,08:42:00,08:42:15,S002,5,0,0
T0023,08:45:00,08:45:15,S001,6,0,0
T0024,10:30:00,10:30:15,S006,1,0,0
T0024,10:33:00,10:33:15,S005,2,0,0
T0024,10:36:00,10:36:15,S004,3,0,0
T0024,10:39:00,10:39:15,S003,4,0,0
T0024,10:42:00,10:42:15,S002,5,0,0
T0024,10:45:00,10:45:15,S001,6,0,0
T0025,12:30:00,12:30:15,S006,1,0,0
T0025,12:33:00,12:33:15,S005,2,0,0
T0025,12:36:00,12:36:15,S004,3,0,0
T0025,12:39:00,12:39:15,S003,4,0,0
T0025,12:42:00,12:42:15,S002,5,0,0
T0025,12:45:00,12:45:15,S001,6,0,0
T0026,14:30:00,14:30:15,S006,1,0,0
T0026,14:33:00,14:33:15,S005,2,0,0
T0026,14:36:00,14:36:15,S004,3,0,0
T0026,14:39:00,14:39:15,S003,4,0,0
T0026,14:42:00,14:42:15,S002,5,0,0
T0026,14:45:00,14:45:15,S001,6,0,0
T0027,16:30:00,16:30:15,S006,1,0,0
T0027,16:33:00,16:33:15,S005,2,0,0
T0027,16:36:00,16:36:15,S004,3,0,0
T0027,16:39:00,16:39:15,S003,4,0,0
T0027,16:42:00,16:42:15,S002,5,0,0
T0027,16:45:00,16:45:15,S001,6,0,0
T0028,18:30:00,18:30:15,S006,1,0,0
T0028,18:33:00,18:33:15,S005,2,0,0
T0028,18:36:00,18:36:15,S004,3,0,0
T0028,18:39:00,18:39:15,S003,4,0,0
T0028,18:42:00,18:42:15,S002,5,0,0
T0028,18:45:00,18:45:15,S001,6,0,0
T0029,06:30:00,06:30:15,S003,1,0,0
T0029,06:33:00,06:33:15,S009,2,0,0
T0029,06:36:00,06:36:15,S015,3,0,0
T0029,06:39:00,06:39:15,S021,4,0,0
T0029,06:42:00,06:42:15,S027,5,0,0
T0029,06:45:00,06:45:15,S033,6,0,0
T0030,08:30:00,08:30:15,S003,1,0,0
T0030,08:33:00,08:33:15,S009,2,0,0
T0030,08:36:00,08:36:15,S015,3,0,0
T0030,08:39:00,08:39:15,S021,4,0,0
T0030,08:42:00,08:42:15,S027,5,0,0
T0030,08:45:00,08:45:15,S033,6,0,0
T0031,10:30:00,10:30:15,S003,1,0,0
T0031,10:33:00,10:33:15,S009,2,0,0
T0031,10:36:00,10:36:15,S015,3,0,0
T0031,10:39:00,10:39:15,S021,4,0,0
T0031,10:42:00,10:42:15,S027,5,0,0
T0031,10:45:00,10:45:15,S033,6,0,0
T0032,12:30:00,12:30:15,S003,1,0,0
T0032,12:33:00,12:33:15,S009,2,0,0
T0032,12:36:00,12:36:15,S015,3,0,0
T0032,12:39:00,12:39:15,S021,4,0,0
T0032,12:42:00,12:42:15,S027,5,0,0
T0032,12:45:00,12:45:15,S033,6,0,0
T0033,14:30:00,14:30:15,S003,1,0,0
T0033,14:33:00,14:33:15,S009,2,0,0
T0033,14:36:00,14:36:15,S015,3,0,0
T0033,14:39:00,14:39:15,S021,4,0,0
T0033,14:42:00,14:42:15,S027,5,0,0
T0033,14:45:00,14:45:15,S033,6,0,0
T0034,16:30:00,16:30:15,S003,1,0,0
T0034,16:33:00,16:33:15,S009,2,0,0
T0034,16:36:00,16:36:15,S015,3,0,0
T0034,16:39:00,16:39:15,S021,4,0,0
T0034,16:42:00,16:42:15,S027,5,0,0
T0034,16:45:00,16:45:15,S033,6,0,0
T0035,18:30:00,18:30:15,S003,1,0,0
T0035,18:33:00,18:33:15,S009,2,0,0
T0035,18:36:00,18:36:15,S015,3,0,0
T0035,18:39:00,18:39:15,S021,4,0,0
T0035,18:42:00,18:42:15,S027,5,0,0
T0035,18:45:00,18:45:15,S033,6,0,0
T0036,20:30:00,20:30:15,S003,1,0,0
T0036,20:33:00,20:33:15,S009,2,0,0
T0036,20:36:00,20:36:15,S015,3,0,0
T0036,20:39:00,20:39:15,S021,4,0,0
T0036,20:42:00,20:42:15,S027,5,0,0
T0036,20:45:00,20:45:15,S033,6,0,0
T0037,06:30:00,06:30:15,S033,1,0,0
T0037,06:33:00,06:33:15,S027,2,0,0
T0037,06:36:00,06:36:15,S021,3,0,0
T0037,06:39:00,06:39:15,S015,4,0,0
T0037,06:42:00,06:42:15,S009,5,0,0
T0037,06:45:00,06:45:15,S003,6,0,0
T0038,08:30:00,08:30:15,S033,1,0,0
T0038,08:33:00,08:33:15,S027,2,0,0
T0038,08:36:00,08:36:15,S021,3,0,0
T0038,08:39:00,08:39:15,S015,4,0,0
T0038,08:42:00,08:42:15,S009,5,0,0
T0038,08:45:00,08:45:15,S003,6,0,0
T0039,10:30:00,10:30:15,S033,1,0,0
T0039,10:33:00,10:33:15,S027,2,0,0
T0039,10:36:00,10:36:15,S021,3,0,0
T0039,10:39:00,10:39:15,S015,4,0,0
T0039,10:42:00,10:42:15,S009,5,0,0
T0039,10:45:00,10:45:15,S003,6,0,0
T0040,12:30:00,12:30:15,S033,1,0,0
T0040,12:33:00,12:33:15,S027,2,0,0
T0040,12:36:00,12:36:15,S021,3,0,0
T0040,12:39:00,12:39:15,S015,4,0,0
T0040,12:42:00,12:42:15,S009,5,0,0
T0040,12:45:00,12:45:15,S003,6,0,0
T0041,14:30:00,14:30:15,S033,1,0,0
T0041,14:33:00,14:33:15,S027,2,0,0
T0041,14:36:00,14:36:15,S021,3,0,0
T0041,14:39:00,14:39:15,S015,4,0,0
T0041,14:42:00,14:42:15,S009,5,0,0
T0041,14:45:00,14:45:15,S003,6,0,0
T0042,16:30:00,16:30:15,S033,1,0,0
T0042,16:33:00,16:33:15,S027,2,0,0
T0042,16:36:00,16:36:15,S021,3,0,0
T0042,16:39:00,16:39:15,S015,4,0,0
T0042,16:42:00,16:42:15,S009,5,0,0
T0042,16:45:00,16:45:15,S003,6,0,0
T0043,18:30:00,18:30:15,S033,1,0,0
T0043,18:33:00,18:33:15,S027,2,0,0
T0043,18:36:00,18:36:15,S021,3,0,0
T0043,18:39:00,18:39:15,S015,4,0,0
T0043,18:42:00,18:42:15,S009,5,0,0
T0043,18:45:00,18:45:15,S003,6,0,0
T0044,20:30:00,20:30:15,S033,1,0,0
T0044,20:33:00,20:33:15,S027,2,0,0
T0044,20:36:00,20:36:15,S021,3,0,0
T0044,20:39:00,20:39:15,S015,4,0,0
T0044,20:42:00,20:42:15,S009,5,0,0
T0044,20:45:00,20:45:15,S003,6,0,0
T0045,08:30:00,08:30:15,S003,1,0,0
T0045,08:33:00,08:33:15,S009,2,0,0
T0045,08:36:00,08:36:15,S015,3,0,0
T0045,08:39:00,08:39:15,S021,4,0,0
T0045,08:42:00,08:42:15,S027,5,0,0
T0045,08:45:00,08:45:15,S033,6,0,0
T0046,10:30:00,10:30:15,S003,1,0,0
T0046,10:33:00,10:33:15,S009,2,0,0
T0046,10:36:00,10:36:15,S015,3,0,0
T0046,10:39:00,10:39:15,S021,4,0,0
T0046,10:42:00,10:42:15,S027,5,0,0
T0046,10:45:00,10:45:15,S033,6,0,0
T0047,12:30:00,12:30:15,S003,1,0,0
T0047,12:33:00,12:33:15,S009,2,0,0
T0047,12:36:00,12:36:15,S015,3,0,0
T0047,12:39:00,12:39:15,S021,4,0,0
T0047,12:42:00,12:42:15,S027,5,0,0
T0047,12:45:00,12:45:15,S033,6,0,0
T0048,14:30:00,14:30:15,S003,1,0,0
T0048,14:33:00,14:33:15,S009,2,0,0
T0048,14:36:00,14:36:15,S015,3,0,0
T0048,14:39:00,14:39:15,S021,4,0,0
T0048,14:42:00,14:42:15,S027,5,0,0
T0048,14:45:00,14:45:15,S033,6,0,0
T0049,16:30:00,16:30:15,S003,1,0,0
T0049,16:33:00,16:33:15,S009,2,0,0
T0049,16:36:00,16:36:15,S015,3,0,0
T0049,16:39:00,16:39:15,S021,4,0,0
T0049,16:42:00,16:42:15,S027,5,0,0
T0049,16:45:00,16:45:15,S033,6,0,0
T0050,18:30:00,18:30:15,S003,1,0,0
T0050,18:33:00,18:33:15,S009,2,0,0
T0050,18:36:00,18:36:15,S015,3,0,0
T0050,18:39:00,18:39:15,S021,4,0,0
T0050,18:42:00,18:42:15,S027,5,0,0
T0050,18:45:00,18:45:15,S033,6,0,0
T0051,08:30:00,08:30:15,S033,1,0,0
T0051,08:33:00,08:33:15,S027,2,0,0
T0051,08:36:00,08:36:15,S021,3,0,0
T0051,08:39:00,08:39:15,S015,4,0,0
T0051,08:42:00,08:42:15,S009,5,0,0
T0051,08:45:00,08:45:15,S003,6,0,0
T0052,10:30:00,10:30:15,S033,1,0,0
T0052,10:33:00,10:33:15,S027,2,0,0
T0052,10:36:00,10:36:15,S021,3,0,0
T0052,10:39:00,10:39:15,S015,4,0,0
T0052,10:42:00,10:42:15,S009,5,0,0
T0052,10:45:00,10:45:15,S003,6,0,0
T0053,12:30:00,12:30:15,S033,1,0,0
T0053,12:33:00,12:33:15,S027,2,0,0
T0053,12:36:00,12:36:15,S021,3,0,0
T0053,12:39:00,12:39:15,S015,4,0,0
T0053,12:42:00,12:42:15,S009,5,0,0
T0053,12:45:00,12:45:15,S003,6,0,0
T0054,14:30:00,14:30:15,S033,1,0,0
T0054,14:33:00,14:33:15,S027,2,0,0
T0054,14:36:00,14:36:15,S021,3,0,0
T0054,14:39:00,14:39:15,S015,4,0,0
T0054,14:42:00,14:42:15,S009,5,0,0
T0054,14:45:00,14:45:15,S003,6,0,0
T0055,16:30:00,16:30:15,S033,1,0,0
T0055,16:33:00,16:33:15,S027,2,0,0
T0055,16:36:00,16:36:15,S021,3,0,0
T0055,16:39:00,16:39:15,S015,4,0,0
T0055,16:42:00,16:42:15,S009,5,0,0
T0055,16:45:00,16:45:15,S003,6,0,0
T0056,18:30:00,18:30:15,S033,1,0,0
T0056,18:33:00,18:33:15,S027,2,0,0
T0056,18:36:00,18:36:15,S021,3,0,0
T0056,18:39:00,18:39:15,S015,4,0,0
T0056,18:42:00,18:42:15,S009,5,0,0
T0056,18:45:00,18:45:15,S003,6,0,0
T0057,07:30:00,07:30:15,S001,1,0,0
T0057,07:33:00,07:33:15,S008,2,0,0
T0057,07:36:00,07:36:15,S015,3,0,0
T0057,07:39:00,07:39:15,S022,4,0,0
T0057,07:42:00,07:42:15,S029,5,0,0
T0057,07:45:00,07:45:15,S036,6,0,0
T0058,09:30:00,09:30:15,S001,1,0,0
T0058,09:33:00,09:33:15,S008,2,0,0
T0058,09:36:00,09:36:15,S015,3,0,0
T0058,09:39:00,09:39:15,S022,4,0,0
T0058,09:42:00,09:42:15,S029,5,0,0
T0058,09:45:00,09:45:15,S036,6,0,0
T0059,11:30:00,11:30:15,S001,1,0,0
T0059,11:33:00,11:33:15,S008,2,0,0
T0059,11:36:00,11:36:15,S015,3,0,0
T0059,11:39:00,11:39:15,S022,4,0,0
T0059,11:42:00,11:42:15,S029,5,0,0
T0059,11:45:00,11:45:15,S036,6,0,0
T0060,13:30:00,13:30:15,S001,1,0,0
T0060,13:33:00,13:33:15,S008,2,0,0
T0060,13:36:00,13:36:15,S015,3,0,0
T0060,13:39:00,13:39:15,S022,4,0,0
T0060,13:42:00,13:42:15,S029,5,0,0
T0060,13:45:00,13:45:15,S036,6,0,0
T0061,15:30:00,15:30:15,S001,1,0,0
T0061,15:33:00,15:33:15,S008,2,0,0
T0061,15:36:00,15:36:15,S015,3,0,0
T0061,15:39:00,15:39:15,S022,4,0,0
T0061,15:42:00,15:42:15,S029,5,0,0
T0061,15:45:00,15:45:15,S036,6,0,0
T0062,17:30:00,17:30:15,S001,1,0,0
T0062,17:33:00,17:33:15,S008,2,0,0
T0062,17:36:00,17:36:15,S015,3,0,0
T0062,17:39:00,17:39:15,S022,4,0,0
T0062,17:42:00,17:42:15,S029,5,0,0
T0062,17:45:00,17:45:15,S036,6,0,0
T0063,07:30:00,07:30:15,S036,1,0,0
T0063,07:33:00,07:33:15,S029,2,0,0
T0063,07:36:00,07:36:15,S022,3,0,0
T0063,07:39:00,07:39:15,S015,4,0,0
T0063,07:42:00,07:42:15,S008,5,0,0
T0063,07:45:00,07:45:15,S001,6,0,0
T0064,09:30:00,09:30:15,S036,1,0,0
T0064,09:33:00,09:33:15,S029,2,0,0
T0064,09:36:00,09:36:15,S022,3,0,0
T0064,09:39:00,09:39:15,S015,4,0,0
T0064,09:42:00,09:42:15,S008,5,0,0
T0064,09:45:00,09:45:15,S001,6,0,0
T0065,11:30:00,11:30:15,S036,1,0,0
T0065,11:33:00,11:33:15,S029,2,0,0
T0065,11:36:00,11:36:15,S022,3,0,0
T0065,11:39:00,11:39:15,S015,4,0,0
T0065,11:42:00,11:42:15,S008,5,0,0
T0065,11:45:00,11:45:15,S001,6,0,0
T0066,13:30:00,13:30:15,S036,1,0,0
T0066,13:33:00,13:33:15,S029,2,0,0
T0066,13:36:00,13:36:15,S022,3,0,0
T0066,13:39:00,13:39:15,S015,4,0,0
T0066,13:42:00,13:42:15,S008,5,0,0
T0066,13:45:00,13:45:15,S001,6,0,0
T0067,15:30:00,15:30:15,S036,1,0,0
T0067,15:33:00,15:33:15,S029,2,0,0
T0067,15:36:00,15:36:15,S022,3,0,0
T0067,15:39:00,15:39:15,S015,4,0,0
T0067,15:42:00,15:42:15,S008,5,0,0
T0067,15:45:00,15:45:15,S001,6,0,0
T0068,17:30:00,17:30:15,S036,1,0,0
T0068,17:33:00,17:33:15,S029,2,0,0
T0068,17:36:00,17:36:15,S022,3,0,0
T0068,17:39:00,17:39:15,S015,4,0,0
T0068,17:42:00,17:42:15,S008,5,0,0
T0068,17:45:00,17:45:15,S001,6,0,0
T0069,07:30:00,07:30:15,S001,1,0,0
T0069,07:33:00,07:33:15,S006,2,0,0
T0069,07:36:00,07:36:15,S036,3,0,0
T0069,07:39:00,07:39:15,S031,4,0,0
T0070,09:30:00,09:30:15,S001,1,0,0
T0070,09:33:00,09:33:15,S006,2,0,0
T0070,09:36:00,09:36:15,S036,3,0,0
T0070,09:39:00,09:39:15,S031,4,0,0
T0071,11:30:00,11:30:15,S001,1,0,0
T0071,11:33:00,11:33:15,S006,2,0,0
T0071,11:36:00,11:36:15,S036,3,0,0
T0071,11:39:00,11:39:15,S031,4,0,0
T0072,13:30:00,13:30:15,S001,1,0,0
T0072,13:33:00,13:33:15,S006,2,0,0
T0072,13:36:00,13:36:15,S036,3,0,0
T0072,13:39:00,13:39:15,S031,4,0,0
T0073,15:30:00,15:30:15,S001,1,0,0
T0073,15:33:00,15:33:15,S006,2,0,0
T0073,15:36:00,15:36:15,S036,3,0,0
T0073,15:39:00,15:39:15,S031,4,0,0
T0074,07:30:00,07:30:15,S001,1,0,0
T0074,07:33:00,07:33:15,S031,2,0,0
T0074,07:36:00,07:36:15,S036,3,0,0
T0074,07:39:00,07:39:15,S006,4,0,0
T0075,09:30:00,09:30:15,S001,1,0,0
T0075,09:33:00,09:33:15,S031,2,0,0
T0075,09:36:00,09:36:15,S036,3,0,0
T0075,09:39:00,09:39:15,S006,4,0,0
T0076,11:30:00,11:30:15,S001,1,0,0
T0076,11:33:00,11:33:15,S031,2,0,0
T0076,11:36:00,11:36:15,S036,3,0,0
T0076,11:39:00,11:39:15,S006,4,0,0
T0077,13:30:00,13:30:15,S001,1,0,0
T0077,13:33:00,13:33:15,S031,2,0,0
T0077,13:36:00,13:36:15,S036,3,0,0
T0077,13:39:00,13:39:15,S006,4,0,0
T0078,15:30:00,15:30:15,S001,1,0,0
T0078,15:33:00,15:33:15,S031,2,0,0
T0078,15:36:00,15:36:15,S036,3,0,0
T0078,15:39:00,15:39:15,S006,4,0,0
T0079,07:30:00,07:30:15,S031,1,0,0
T0079,07:33:00,07:33:15,S032,2,0,0
T0079,07:36:00,07:36:15,S033,3,0,0
T0079,07:39:00,07:39:15,S034,4,0,0
T0079,07:42:00,07:42:15,S035,5,0,0
T0079,07:45:00,07:45:15,S036,6,0,0
T0080,09:30:00,09:30:15,S031,1,0,0
T0080,09:33:00,09:33:15,S032,2,0,0
T0080,09:36:00,09:36:15,S033,3,0,0
T0080,09:39:00,09:39:15,S034,4,0,0
T0080,09:42:00,09:42:15,S035,5,0,0
T0080,09:45:00,09:45:15,S036,6,0,0
T0081,11:30:00,11:30:15,S031,1,0,0
T0081,11:33:00,11:33:15,S032,2,0,0
T0081,11:36:00,11:36:15,S033,3,0,0
T0081,11:39:00,11:39:15,S034,4,0,0
T0081,11:42:00,11:42:15,S035,5,0,0
T0081,11:45:00,11:45:15,S036,6,0,0
T0082,13:30:00,13:30:15,S031,1,0,0
T0082,13:33:00,13:33:15,S032,2,0,0
T0082,13:36:00,13:36:15,S033,3,0,0
T0082,13:39:00,13:39:15,S034,4,0,0
T0082,13:42:00,13:42:15,S035,5,0,0
T0082,13:45:00,13:45:15,S036,6,0,0
T0083,07:30:00,07:30:15,S036,1,0,0
T0083,07:33:00,07:33:15,S035,2,0,0
T0083,07:36:00,07:36:15,S034,3,0,0
T0083,07:39:00,07:39:15,S033,4,0,0
T0083,07:42:00,07:42:15,S032,5,0,0
T0083,07:45:00,07:45:15,S031,6,0,0
T0084,09:30:00,09:30:15,S036,1,0,0
T0084,09:33:00,09:33:15,S035,2,0,0
T0084,09:36:00,09:36:15,S034,3,0,0
T0084,09:39:00,09:39:15,S033,4,0,0
T0084,09:42:00,09:42:15,S032,5,0,0
T0084,09:45:00,09:45:15,S031,6,0,0
T0085,11:30:00,11:30:15,S036,1,0,0
T0085,11:33:00,11:33:15,S035,2,0,0
T0085,11:36:00,11:36:15,S034,3,0,0
T0085,11:39:00,11:39:15,S033,4,0,0
T0085,11:42:00,11:42:15,S032,5,0,0
T0085,11:45:00,11:45:15,S031,6,0,0
T0086,13:30:00,13:30:15,S036,1,0,0
T0086,13:33:00,13:33:15,S035,2,0,0
T0086,13:36:00,13:36:15,S034,3,0,0
T0086,13:39:00,13:39:15,S033,4,0,0
T0086,13:42:00,13:42:15,S032,5,0,0
T0086,13:45:00,13:45:15,S031,6,0,0
